"X","trialNum","rt","subject","condition","Focal1","Focal2","Focal3","ParticipantNum","InducerL","InducerR","ConcurrentL","ConcurrentR","choice","DataSet"
79,80,3907,"0BwAB3cQny","Noise-Shape-Speed-10","Noise","Shape","Speed","10","Shape-BK3-H","Shape-BK3-L","Size-Triangles-H","Size-Triangles-L",1,"Pilot"
80,81,10767,"0BwAB3cQny","Noise-Shape-Speed-10","Noise","Shape","Speed","10","Brightness-Squares-L","Brightness-Squares-H","Noise-Piano-L","Noise-Piano-H",1,"Pilot"
81,82,4304,"0BwAB3cQny","Noise-Shape-Speed-10","Noise","Shape","Speed","10","Noise-Pulse-H","Noise-Pulse-L","Size-Triangles-L","Size-Triangles-H",0,"Pilot"
82,83,2987,"0BwAB3cQny","Noise-Shape-Speed-10","Noise","Shape","Speed","10","Size-Triangles-H","Size-Triangles-L","Shape-BK2-H","Shape-BK2-L",1,"Pilot"
83,84,7155,"0BwAB3cQny","Noise-Shape-Speed-10","Noise","Shape","Speed","10","Noise-Hum-H","Noise-Hum-L","Pitch-Piano-H","Pitch-Piano-L",0,"Pilot"
84,85,2905,"0BwAB3cQny","Noise-Shape-Speed-10","Noise","Shape","Speed","10","Shape-BK3-L","Shape-BK3-H","Speed-SP1-H","Speed-SP1-L",1,"Pilot"
85,86,3477,"0BwAB3cQny","Noise-Shape-Speed-10","Noise","Shape","Speed","10","Speed-SP1-H","Speed-SP1-L","Affect-EB-H","Affect-EB-L",0,"Pilot"
86,87,2244,"0BwAB3cQny","Noise-Shape-Speed-10","Noise","Shape","Speed","10","Speed-SP4-H","Speed-SP4-L","Color-RY-H","Color-RY-L",1,"Pilot"
87,88,4047,"0BwAB3cQny","Noise-Shape-Speed-10","Noise","Shape","Speed","10","Noise-Hum-H","Noise-Hum-L","Shape-BK3-H","Shape-BK3-L",0,"Pilot"
88,89,3955,"0BwAB3cQny","Noise-Shape-Speed-10","Noise","Shape","Speed","10","Color-RY-H","Color-RY-L","Noise-Tone-H","Noise-Tone-L",0,"Pilot"
89,90,5420,"0BwAB3cQny","Noise-Shape-Speed-10","Noise","Shape","Speed","10","Amp-Pulse-L","Amp-Pulse-H","Noise-Piano-H","Noise-Piano-L",0,"Pilot"
90,91,3874,"0BwAB3cQny","Noise-Shape-Speed-10","Noise","Shape","Speed","10","Affect-EB-H","Affect-EB-L","Noise-Tone-H","Noise-Tone-L",1,"Pilot"
91,92,3506,"0BwAB3cQny","Noise-Shape-Speed-10","Noise","Shape","Speed","10","Speed-SP4-H","Speed-SP4-L","Size-Triangles-H","Size-Triangles-L",0,"Pilot"
92,93,3569,"0BwAB3cQny","Noise-Shape-Speed-10","Noise","Shape","Speed","10","Speed-SP4-H","Speed-SP4-L","Noise-Hum-H","Noise-Hum-L",1,"Pilot"
93,94,5289,"0BwAB3cQny","Noise-Shape-Speed-10","Noise","Shape","Speed","10","Noise-Hum-L","Noise-Hum-H","Amp-Pulse-L","Amp-Pulse-H",1,"Pilot"
94,95,4540,"0BwAB3cQny","Noise-Shape-Speed-10","Noise","Shape","Speed","10","Pitch-Piano-L","Pitch-Piano-H","Speed-SP2-L","Speed-SP2-H",1,"Pilot"
95,96,3400,"0BwAB3cQny","Noise-Shape-Speed-10","Noise","Shape","Speed","10","Shape-BK1-L","Shape-BK1-H","Size-Triangles-H","Size-Triangles-L",0,"Pilot"
0,1,4844,"2fgfNXCWoW","Pitch-Size-Color-9","Pitch","Size","Color","9","Color-YB-L","Color-YB-H","Noise-Hum-L","Noise-Hum-H",1,"Pilot"
1,2,3273,"2fgfNXCWoW","Pitch-Size-Color-9","Pitch","Size","Color","9","Shape-BK2-L","Shape-BK2-H","Color-RB-L","Color-RB-H",1,"Pilot"
2,3,5587,"2fgfNXCWoW","Pitch-Size-Color-9","Pitch","Size","Color","9","Pitch-Hum-H","Pitch-Hum-L","Noise-Hum-L","Noise-Hum-H",1,"Pilot"
3,4,3369,"2fgfNXCWoW","Pitch-Size-Color-9","Pitch","Size","Color","9","Size-Squares-L","Size-Squares-H","Brightness-Triangles-L","Brightness-Triangles-H",0,"Pilot"
4,5,3926,"2fgfNXCWoW","Pitch-Size-Color-9","Pitch","Size","Color","9","Brightness-Triangles-H","Brightness-Triangles-L","Pitch-Pulse-H","Pitch-Pulse-L",1,"Pilot"
